nm,value,abs,gene,temp
260,0.721467,292.808,buffer,30
259,0.738128,293.593,buffer,30
258,0.743214,294.37,buffer,30
257,0.772755,295.133,buffer,30
256,0.767372,295.877,buffer,30
255,0.782332,296.607,buffer,30
254,0.778329,297.312,buffer,30
253,0.738957,298.005,buffer,30
252,0.711398,298.694,buffer,30
251,0.733235,299.397,buffer,30
250,0.70843,300.064,buffer,30
249,0.751623,300.734,buffer,30
248,0.745944,301.439,buffer,30
247,0.772475,302.175,buffer,30
246,0.763089,302.956,buffer,30
245,0.747342,303.738,buffer,30
244,0.690048,304.535,buffer,30
243,0.674228,305.42,buffer,30
242,0.644024,306.378,buffer,30
241,0.659708,307.444,buffer,30
240,0.627825,308.6,buffer,30
239,0.627642,309.846,buffer,30
238,0.626458,311.17,buffer,30
237,0.645737,312.565,buffer,30
236,0.664563,314.034,buffer,30
235,0.618365,315.573,buffer,30
234,0.587879,317.208,buffer,30
233,0.560095,318.963,buffer,30
232,0.598388,320.837,buffer,30
231,0.635243,322.942,buffer,30
230,0.675408,325.456,buffer,30
229,0.654373,328.441,buffer,30
228,0.610227,332.088,buffer,30
227,0.6081,336.411,buffer,30
226,0.628729,341.555,buffer,30
225,0.674083,347.59,buffer,30
224,0.638551,354.497,buffer,30
223,0.62916,362.299,buffer,30
222,0.568134,370.992,buffer,30
221,0.529726,380.631,buffer,30
220,0.462906,391.155,buffer,30
219,0.595565,402.492,buffer,30
218,0.577914,414.371,buffer,30
217,0.651374,426.625,buffer,30
216,0.603201,439.08,buffer,30
215,0.667367,451.683,buffer,30
214,0.676135,464.353,buffer,30
213,0.611191,477.023,buffer,30
212,0.969263,489.604,buffer,30
211,1.09585,501.755,buffer,30
210,1.13048,513.364,buffer,30
209,0.858157,524.332,buffer,30
208,0.20427,534.747,buffer,30
207,-0.197354,544.992,buffer,30
206,-0.22398,555.56,buffer,30
205,-0.136604,567.116,buffer,30
204,0.301391,580.928,buffer,30
203,0.177974,598.629,buffer,30
202,0.60324,623.255,buffer,30
201,0.399179,658.483,buffer,30
200,0.596732,710.42,buffer,30
260,0.57012,,buffer,98
259,0.5615646,,buffer,98
258,0.5654008,,buffer,98
257,0.5891074,,buffer,98
256,0.6279989,,buffer,98
255,0.6199953,,buffer,98
254,0.5816249,,buffer,98
253,0.5430133,,buffer,98
252,0.5539098,,buffer,98
251,0.579313,,buffer,98
250,0.5752714,,buffer,98
249,0.5509657,,buffer,98
248,0.5459951,,buffer,98
247,0.4924024,,buffer,98
246,0.4543544,,buffer,98
245,0.4402446,,buffer,98
244,0.4917078,,buffer,98
243,0.5306265,,buffer,98
242,0.4851145,,buffer,98
241,0.4139089,,buffer,98
240,0.3808773,,buffer,98
239,0.4067087,,buffer,98
238,0.389292,,buffer,98
237,0.3768557,,buffer,98
236,0.3995966,,buffer,98
235,0.3675527,,buffer,98
234,0.3553881,,buffer,98
233,0.2396999,,buffer,98
232,0.2225739,,buffer,98
231,0.2169639,,buffer,98
230,0.1961541,,buffer,98
229,0.1911388,,buffer,98
228,0.1809072,,buffer,98
227,0.121025,,buffer,98
226,0.05862524,,buffer,98
225,0.05344269,,buffer,98
224,0.08682006,,buffer,98
223,0.08312214,,buffer,98
222,0.0121505,,buffer,98
221,-0.1377643,,buffer,98
220,-0.08499016,,buffer,98
219,-0.01516771,,buffer,98
218,0.0508526,,buffer,98
217,-0.02372266,,buffer,98
216,-0.067459,,buffer,98
215,-0.0646503,,buffer,98
214,-0.1209661,,buffer,98
213,0.1151586,,buffer,98
212,0.05474433,,buffer,98
211,0.05962456,,buffer,98
210,-0.2966284,,buffer,98
209,-0.164005,,buffer,98
208,0.1780874,,buffer,98
207,0.3372788,,buffer,98
206,-0.4807715,,buffer,98
205,-1.014402,,buffer,98
204,-0.5251954,,buffer,98
203,0.08643696,,buffer,98
202,0.3331864,,buffer,98
201,-0.2705478,,buffer,98
200,0.4791418,,buffer,98
260,0.937882,290.965,cgre,30
259,0.914432,291.709,cgre,30
258,0.898347,292.45,cgre,30
257,0.845995,293.159,cgre,30
256,0.854501,293.88,cgre,30
255,0.872168,294.592,cgre,30
254,0.879575,295.287,cgre,30
253,0.829419,295.965,cgre,30
252,0.765817,296.645,cgre,30
251,0.786362,297.352,cgre,30
250,0.788645,298.038,cgre,30
249,0.801127,298.713,cgre,30
248,0.833474,299.442,cgre,30
247,0.85534,300.212,cgre,30
246,0.831757,301.042,cgre,30
245,0.80704,301.898,cgre,30
244,0.782048,302.803,cgre,30
243,0.751277,303.806,cgre,30
242,0.773597,304.943,cgre,30
241,0.754753,306.209,cgre,30
240,0.807076,307.653,cgre,30
239,0.897075,309.267,cgre,30
238,0.960196,311.037,cgre,30
237,0.950783,312.956,cgre,30
236,0.822611,315.014,cgre,30
235,0.63599,317.234,cgre,30
234,0.379052,319.6,cgre,30
233,0.103061,322.119,cgre,30
232,-0.384097,324.684,cgre,30
231,-0.881407,327.415,cgre,30
230,-1.42735,330.456,cgre,30
229,-1.92145,333.897,cgre,30
228,-2.43428,337.901,cgre,30
227,-2.88041,342.47,cgre,30
226,-3.36103,347.759,cgre,30
225,-3.76367,353.856,cgre,30
224,-4.22726,360.743,cgre,30
223,-4.60934,368.453,cgre,30
222,-5.02206,376.986,cgre,30
221,-5.41339,386.391,cgre,30
220,-5.55107,396.704,cgre,30
219,-5.5444,407.819,cgre,30
218,-5.56044,419.554,cgre,30
217,-5.70785,431.708,cgre,30
216,-5.67502,444.262,cgre,30
215,-5.57916,457.135,cgre,30
214,-5.28926,470.413,cgre,30
213,-4.87557,484.029,cgre,30
212,-4.63871,497.828,cgre,30
211,-4.09791,511.838,cgre,30
210,-3.89497,525.911,cgre,30
209,-3.3085,540.406,cgre,30
208,-2.71729,555.424,cgre,30
207,-1.88419,571.416,cgre,30
206,-1.14795,588.767,cgre,30
205,-0.723621,608.124,cgre,30
204,0.0468723,630.847,cgre,30
203,0.923993,658.893,cgre,30
202,2.45986,695.277,cgre,30
201,3.22941,743.498,cgre,30
200,3.40737,808.058,cgre,30
260,0.57342,301.022,cgre,98
259,0.599556,301.903,cgre,98
258,0.613993,302.768,cgre,98
257,0.599625,303.602,cgre,98
256,0.570594,304.423,cgre,98
255,0.541512,305.234,cgre,98
254,0.518619,306.014,cgre,98
253,0.504477,306.783,cgre,98
252,0.45777,307.528,cgre,98
251,0.436084,308.289,cgre,98
250,0.426714,309.027,cgre,98
249,0.382246,309.752,cgre,98
248,0.29146,310.503,cgre,98
247,0.276624,311.288,cgre,98
246,0.290909,312.122,cgre,98
245,0.304417,312.97,cgre,98
244,0.326943,313.863,cgre,98
243,0.213931,314.83,cgre,98
242,0.19146,315.913,cgre,98
241,0.181977,317.107,cgre,98
240,0.118971,318.407,cgre,98
239,0.0239363,319.816,cgre,98
238,-0.0113738,321.376,cgre,98
237,-0.073297,323.057,cgre,98
236,-0.102967,324.874,cgre,98
235,-0.123976,326.831,cgre,98
234,-0.150804,328.934,cgre,98
233,-0.172445,331.237,cgre,98
232,-0.27739,333.71,cgre,98
231,-0.362851,336.511,cgre,98
230,-0.52926,339.77,cgre,98
229,-0.52585,343.591,cgre,98
228,-0.459529,348.091,cgre,98
227,-0.39543,353.2,cgre,98
226,-0.351865,359.062,cgre,98
225,-0.418077,365.709,cgre,98
224,-0.455487,373.191,cgre,98
223,-0.526832,381.505,cgre,98
222,-0.569655,390.694,cgre,98
221,-0.410738,400.831,cgre,98
220,-0.422855,411.814,cgre,98
219,-0.535761,423.591,cgre,98
218,-0.735245,436.078,cgre,98
217,-0.769802,449.228,cgre,98
216,-0.759387,462.976,cgre,98
215,-0.6068,477.458,cgre,98
214,-0.439023,492.9,cgre,98
213,-0.404028,509.621,cgre,98
212,-0.634844,527.963,cgre,98
211,-1.18559,548.483,cgre,98
210,-1.1787,572.366,cgre,98
209,-1.00337,601.103,cgre,98
208,-1.03669,636.918,cgre,98
207,-0.486221,683.577,cgre,98
206,-0.743706,745.469,cgre,98
205,-0.252902,827.431,cgre,98
204,-0.55797,904.244,cgre,98
203,-0.998979,958.083,cgre,98
202,-1.04908,981.237,cgre,98
201,-0.492032,981.907,cgre,98
200,-1.03553,981.844,cgre,98
260,0.795728,291.865,pplu,30
259,0.842376,292.655,pplu,30
258,0.871637,293.439,pplu,30
257,0.838696,294.192,pplu,30
256,0.821236,294.946,pplu,30
255,0.785293,295.681,pplu,30
254,0.809691,296.415,pplu,30
253,0.802039,297.138,pplu,30
252,0.820791,297.864,pplu,30
251,0.801856,298.593,pplu,30
250,0.786389,299.314,pplu,30
249,0.725666,300.013,pplu,30
248,0.683945,300.768,pplu,30
247,0.704886,301.569,pplu,30
246,0.719686,302.43,pplu,30
245,0.760665,303.309,pplu,30
244,0.706209,304.214,pplu,30
243,0.691918,305.211,pplu,30
242,0.665817,306.307,pplu,30
241,0.6084,307.513,pplu,30
240,0.500573,308.837,pplu,30
239,0.421716,310.273,pplu,30
238,0.388819,311.82,pplu,30
237,0.312471,313.439,pplu,30
236,0.166178,315.128,pplu,30
235,0.0058027,316.901,pplu,30
234,-0.0698,318.766,pplu,30
233,-0.112392,320.73,pplu,30
232,-0.214449,322.738,pplu,30
231,-0.30711,324.922,pplu,30
230,-0.466187,327.403,pplu,30
229,-0.574187,330.245,pplu,30
228,-0.728891,333.543,pplu,30
227,-0.815383,337.272,pplu,30
226,-0.899613,341.523,pplu,30
225,-1.02424,346.354,pplu,30
224,-1.18702,351.752,pplu,30
223,-1.41421,357.722,pplu,30
222,-1.5691,364.3,pplu,30
221,-1.58032,371.512,pplu,30
220,-1.59957,379.307,pplu,30
219,-1.46599,387.652,pplu,30
218,-1.38453,396.41,pplu,30
217,-1.23997,405.485,pplu,30
216,-1.00121,414.812,pplu,30
215,-0.768758,424.344,pplu,30
214,-0.371809,434.151,pplu,30
213,-0.140588,444.168,pplu,30
212,0.221474,454.412,pplu,30
211,0.792194,464.854,pplu,30
210,1.32377,475.451,pplu,30
209,2.24136,486.377,pplu,30
208,3.03659,497.694,pplu,30
207,4.04095,509.76,pplu,30
206,4.78123,522.875,pplu,30
205,5.61708,537.793,pplu,30
204,6.37126,555.541,pplu,30
203,6.84977,577.931,pplu,30
202,7.06873,607.564,pplu,30
201,6.71216,648.332,pplu,30
200,6.53682,706.207,pplu,30
260,0.633846,298.998,pplu,98
259,0.614045,299.866,pplu,98
258,0.623511,300.743,pplu,98
257,0.612731,301.596,pplu,98
256,0.586434,302.442,pplu,98
255,0.562734,303.269,pplu,98
254,0.511232,304.065,pplu,98
253,0.542432,304.879,pplu,98
252,0.555939,305.687,pplu,98
251,0.570243,306.506,pplu,98
250,0.506851,307.29,pplu,98
249,0.47029,308.068,pplu,98
248,0.439182,308.891,pplu,98
247,0.454868,309.758,pplu,98
246,0.409172,310.668,pplu,98
245,0.374186,311.585,pplu,98
244,0.331489,312.537,pplu,98
243,0.286987,313.557,pplu,98
242,0.283943,314.681,pplu,98
241,0.281716,315.917,pplu,98
240,0.235838,317.262,pplu,98
239,0.230514,318.719,pplu,98
238,0.223984,320.279,pplu,98
237,0.237085,321.93,pplu,98
236,0.188124,323.661,pplu,98
235,0.139903,325.502,pplu,98
234,0.204938,327.487,pplu,98
233,0.227148,329.611,pplu,98
232,0.240839,331.867,pplu,98
231,0.186101,334.344,pplu,98
230,0.178634,337.216,pplu,98
229,0.292029,340.514,pplu,98
228,0.323139,344.31,pplu,98
227,0.378389,348.542,pplu,98
226,0.284758,353.29,pplu,98
225,0.259061,358.646,pplu,98
224,0.24286,364.609,pplu,98
223,0.23385,371.169,pplu,98
222,0.259419,378.361,pplu,98
221,0.287315,386.212,pplu,98
220,0.212674,394.683,pplu,98
219,0.213441,403.774,pplu,98
218,0.195506,413.404,pplu,98
217,0.377182,423.558,pplu,98
216,0.321559,434.147,pplu,98
215,0.404996,445.379,pplu,98
214,0.450975,457.442,pplu,98
213,0.591409,470.729,pplu,98
212,0.79172,485.642,pplu,98
211,0.842997,502.727,pplu,98
210,0.77604,522.921,pplu,98
209,0.743948,547.66,pplu,98
208,0.756782,579.08,pplu,98
207,1.05847,620.488,pplu,98
206,1.01109,676.493,pplu,98
205,0.721569,753.892,pplu,98
204,0.804236,848.702,pplu,98
203,0.594096,925.051,pplu,98
202,0.451166,972.198,pplu,98
201,-0.21387,981.922,pplu,98
200,0.323324,982.179,pplu,98
260,0.903154,292.365,amac,30
259,0.913165,293.138,amac,30
258,0.877908,293.886,amac,30
257,0.855932,294.622,amac,30
256,0.870461,295.36,amac,30
255,0.827834,296.076,amac,30
254,0.819983,296.778,amac,30
253,0.775052,297.467,amac,30
252,0.784574,298.162,amac,30
251,0.823492,298.869,amac,30
250,0.854374,299.557,amac,30
249,0.861761,300.234,amac,30
248,0.828677,300.957,amac,30
247,0.822488,301.717,amac,30
246,0.77731,302.527,amac,30
245,0.748463,303.354,amac,30
244,0.725738,304.231,amac,30
243,0.709194,305.211,amac,30
242,0.625231,306.279,amac,30
241,0.547826,307.474,amac,30
240,0.423369,308.8,amac,30
239,0.35545,310.276,amac,30
238,0.229326,311.881,amac,30
237,0.14235,313.634,amac,30
236,0.0628881,315.536,amac,30
235,0.00849827,317.592,amac,30
234,-0.120001,319.763,amac,30
233,-0.295949,322.061,amac,30
232,-0.51228,324.451,amac,30
231,-0.685607,327.05,amac,30
230,-0.941019,329.985,amac,30
229,-1.19667,333.341,amac,30
228,-1.48382,337.263,amac,30
227,-1.79657,341.715,amac,30
226,-2.06335,346.863,amac,30
225,-2.31023,352.752,amac,30
224,-2.59871,359.368,amac,30
223,-2.78682,366.729,amac,30
222,-3.08213,374.82,amac,30
221,-3.22489,383.738,amac,30
220,-3.38001,393.423,amac,30
219,-3.40819,403.815,amac,30
218,-3.61046,414.716,amac,30
217,-3.41959,426.148,amac,30
216,-3.34604,437.904,amac,30
215,-2.96867,450.055,amac,30
214,-2.6395,462.525,amac,30
213,-2.52034,475.272,amac,30
212,-2.2623,488.306,amac,30
211,-1.72327,501.62,amac,30
210,-1.27438,515.118,amac,30
209,-0.744599,528.963,amac,30
208,-0.437736,543.273,amac,30
207,0.0512437,558.484,amac,30
206,1.22814,575.242,amac,30
205,2.0653,594.042,amac,30
204,3.38832,616.342,amac,30
203,4.4658,643.994,amac,30
202,5.57465,680.001,amac,30
201,5.50563,728.156,amac,30
200,5.28062,794.031,amac,30
260,0.664047,299.495,amac,98
259,0.680986,300.345,amac,98
258,0.648688,301.174,amac,98
257,0.615264,301.989,amac,98
256,0.592597,302.798,amac,98
255,0.579282,303.594,amac,98
254,0.546912,304.364,amac,98
253,0.511878,305.128,amac,98
252,0.579325,305.913,amac,98
251,0.610619,306.696,amac,98
250,0.608904,307.449,amac,98
249,0.531195,308.169,amac,98
248,0.413665,308.927,amac,98
247,0.35122,309.728,amac,98
246,0.340047,310.6,amac,98
245,0.342204,311.478,amac,98
244,0.301024,312.387,amac,98
243,0.253534,313.376,amac,98
242,0.20279,314.461,amac,98
241,0.0940098,315.664,amac,98
240,0.0231604,317.003,amac,98
239,-0.0243151,318.464,amac,98
238,-0.055385,320.056,amac,98
237,-0.0996793,321.756,amac,98
236,-0.19026,323.567,amac,98
235,-0.210212,325.529,amac,98
234,-0.215787,327.644,amac,98
233,-0.236005,329.947,amac,98
232,-0.308508,332.412,amac,98
231,-0.387102,335.169,amac,98
230,-0.45951,338.383,amac,98
229,-0.468995,342.089,amac,98
228,-0.491505,346.421,amac,98
227,-0.559851,351.296,amac,98
226,-0.607666,356.876,amac,98
225,-0.672992,363.201,amac,98
224,-0.759563,370.266,amac,98
223,-0.756204,378.126,amac,98
222,-0.853316,386.768,amac,98
221,-0.729124,396.293,amac,98
220,-0.736368,406.598,amac,98
219,-0.605272,417.685,amac,98
218,-0.486445,429.427,amac,98
217,-0.528988,441.734,amac,98
216,-0.566351,454.616,amac,98
215,-0.527671,468.206,amac,98
214,-0.331439,482.793,amac,98
213,-0.408108,498.616,amac,98
212,-0.43003,516.187,amac,98
211,-0.919152,535.944,amac,98
210,-0.675924,559.173,amac,98
209,-0.521153,587.24,amac,98
208,-0.507995,622.442,amac,98
207,-0.0340019,668.416,amac,98
206,0.299608,729.88,amac,98
205,0.378726,812.37,amac,98
204,0.372192,894.001,amac,98
203,-0.0923275,952.765,amac,98
202,-0.287479,980.666,amac,98
201,0.504878,982.153,amac,98
200,0.167062,982.103,amac,98
260,0.942296,292.53,amacV14L,30
259,1.01564,293.321,amacV14L,30
258,1.01667,294.083,amacV14L,30
257,0.973542,294.814,amacV14L,30
256,0.898566,295.527,amacV14L,30
255,0.877672,296.24,amacV14L,30
254,0.86409,296.933,amacV14L,30
253,0.894379,297.635,amacV14L,30
252,0.878502,298.319,amacV14L,30
251,0.857087,299.017,amacV14L,30
250,0.812784,299.696,amacV14L,30
249,0.846353,300.386,amacV14L,30
248,0.83947,301.12,amacV14L,30
247,0.864514,301.886,amacV14L,30
246,0.823767,302.699,amacV14L,30
245,0.793826,303.531,amacV14L,30
244,0.784612,304.415,amacV14L,30
243,0.709199,305.375,amacV14L,30
242,0.650831,306.445,amacV14L,30
241,0.57491,307.638,amacV14L,30
240,0.518614,308.981,amacV14L,30
239,0.437753,310.449,amacV14L,30
238,0.349797,312.053,amacV14L,30
237,0.278375,313.792,amacV14L,30
236,0.19678,315.665,amacV14L,30
235,0.0776777,317.669,amacV14L,30
234,-0.0672867,319.777,amacV14L,30
233,-0.27175,321.979,amacV14L,30
232,-0.496884,324.22,amacV14L,30
231,-0.753422,326.563,amacV14L,30
230,-0.988585,329.144,amacV14L,30
229,-1.24505,331.951,amacV14L,30
228,-1.5368,335.071,amacV14L,30
227,-1.78938,338.417,amacV14L,30
226,-2.07302,342.043,amacV14L,30
225,-2.31108,346.007,amacV14L,30
224,-2.60694,350.275,amacV14L,30
223,-2.84235,354.901,amacV14L,30
222,-2.94415,359.909,amacV14L,30
221,-2.99194,365.301,amacV14L,30
220,-3.01481,371.039,amacV14L,30
219,-3.17234,377.064,amacV14L,30
218,-3.18908,383.429,amacV14L,30
217,-3.10113,390.108,amacV14L,30
216,-2.89645,397.083,amacV14L,30
215,-2.60159,404.372,amacV14L,30
214,-2.37969,412.005,amacV14L,30
213,-2.16525,420.07,amacV14L,30
212,-1.83218,428.652,amacV14L,30
211,-1.72722,437.685,amacV14L,30
210,-1.36732,447.408,amacV14L,30
209,-0.850274,457.959,amacV14L,30
208,-0.224167,469.557,amacV14L,30
207,0.414336,482.495,amacV14L,30
206,1.32518,497.254,amacV14L,30
205,2.08836,514.327,amacV14L,30
204,3.18344,534.908,amacV14L,30
203,4.22546,560.623,amacV14L,30
202,5.31756,594.182,amacV14L,30
201,5.82811,639.327,amacV14L,30
200,6.08574,702.032,amacV14L,30
260,0.59525,300.987,amacV14L,98
259,0.575104,301.845,amacV14L,98
258,0.54133,302.699,amacV14L,98
257,0.538171,303.538,amacV14L,98
256,0.578752,304.384,amacV14L,98
255,0.634477,305.218,amacV14L,98
254,0.639361,306.012,amacV14L,98
253,0.647052,306.802,amacV14L,98
252,0.609173,307.579,amacV14L,98
251,0.656534,308.387,amacV14L,98
250,0.621407,309.155,amacV14L,98
249,0.580009,309.899,amacV14L,98
248,0.473087,310.667,amacV14L,98
247,0.39526,311.463,amacV14L,98
246,0.376849,312.329,amacV14L,98
245,0.329501,313.204,amacV14L,98
244,0.279098,314.117,amacV14L,98
243,0.207334,315.115,amacV14L,98
242,0.188877,316.224,amacV14L,98
241,0.124015,317.434,amacV14L,98
240,0.0450539,318.762,amacV14L,98
239,-0.024351,320.195,amacV14L,98
238,-0.119499,321.739,amacV14L,98
237,-0.118372,323.394,amacV14L,98
236,-0.182838,325.131,amacV14L,98
235,-0.234031,326.965,amacV14L,98
234,-0.324588,328.877,amacV14L,98
233,-0.397609,330.915,amacV14L,98
232,-0.328989,333.057,amacV14L,98
231,-0.362661,335.339,amacV14L,98
230,-0.374601,337.905,amacV14L,98
229,-0.407073,340.708,amacV14L,98
228,-0.43204,343.847,amacV14L,98
227,-0.402191,347.213,amacV14L,98
226,-0.438591,350.877,amacV14L,98
225,-0.578276,354.878,amacV14L,98
224,-0.669347,359.244,amacV14L,98
223,-0.615551,364.021,amacV14L,98
222,-0.587697,369.173,amacV14L,98
221,-0.487402,374.758,amacV14L,98
220,-0.517703,380.735,amacV14L,98
219,-0.539158,387.138,amacV14L,98
218,-0.621064,393.953,amacV14L,98
217,-0.678323,401.182,amacV14L,98
216,-0.661818,408.917,amacV14L,98
215,-0.631648,417.281,amacV14L,98
214,-0.528726,426.584,amacV14L,98
213,-0.458569,437.153,amacV14L,98
212,-0.555838,449.414,amacV14L,98
211,-0.462885,464.052,amacV14L,98
210,-0.259162,482.013,amacV14L,98
209,0.194708,504.743,amacV14L,98
208,0.404065,534.185,amacV14L,98
207,0.293619,573.379,amacV14L,98
206,-0.0322682,627.015,amacV14L,98
205,-0.0306523,702.039,amacV14L,98
204,0.95706,804.119,amacV14L,98
203,2.35003,896.304,amacV14L,98
202,2.58773,959.758,amacV14L,98
201,1.38124,982.428,amacV14L,98
200,0.260082,982.161,amacV14L,98
260,0.857389,292.851,av,30
259,0.86016,293.647,av,30
258,0.866798,294.434,av,30
257,0.899726,295.205,av,30
256,0.909843,295.959,av,30
255,0.934662,296.697,av,30
254,0.937947,297.411,av,30
253,0.88045,298.102,av,30
252,0.846316,298.796,av,30
251,0.830145,299.505,av,30
250,0.832536,300.201,av,30
249,0.865126,300.896,av,30
248,0.832002,301.629,av,30
247,0.808278,302.397,av,30
246,0.731898,303.22,av,30
245,0.679014,304.069,av,30
244,0.621655,304.971,av,30
243,0.55618,305.972,av,30
242,0.485183,307.082,av,30
241,0.416827,308.334,av,30
240,0.255287,309.724,av,30
239,0.123847,311.282,av,30
238,-0.0423034,313.001,av,30
237,-0.165151,314.903,av,30
236,-0.260823,316.992,av,30
235,-0.413028,319.236,av,30
234,-0.561212,321.621,av,30
233,-0.802531,324.129,av,30
232,-1.01888,326.736,av,30
231,-1.34798,329.501,av,30
230,-1.66605,332.597,av,30
229,-1.88822,336.096,av,30
228,-2.1447,340.095,av,30
227,-2.35738,344.573,av,30
226,-2.663,349.628,av,30
225,-2.94217,355.345,av,30
224,-3.18877,361.722,av,30
223,-3.40134,368.748,av,30
222,-3.73281,376.424,av,30
221,-3.96734,384.834,av,30
220,-4.21744,393.927,av,30
219,-4.34692,403.67,av,30
218,-4.44669,413.945,av,30
217,-4.49417,424.671,av,30
216,-4.64466,435.763,av,30
215,-4.50385,447.307,av,30
214,-4.26219,459.288,av,30
213,-3.72415,471.819,av,30
212,-3.53117,484.695,av,30
211,-3.19206,498.062,av,30
210,-3.041,511.911,av,30
209,-2.27186,526.616,av,30
208,-1.55199,542.26,av,30
207,-0.4802,559.319,av,30
206,0.804978,578.291,av,30
205,1.79998,599.775,av,30
204,2.96127,625.195,av,30
203,4.11396,656.419,av,30
202,5.54501,696.469,av,30
201,6.36606,749.05,av,30
200,5.97419,818.457,av,30
260,0.549152,295.917,av,98
259,0.533702,296.752,av,98
258,0.54009,297.574,av,98
257,0.527958,298.381,av,98
256,0.507889,299.179,av,98
255,0.511213,299.974,av,98
254,0.464822,300.74,av,98
253,0.480823,301.518,av,98
252,0.374438,302.263,av,98
251,0.295011,303.016,av,98
250,0.252558,303.762,av,98
249,0.205927,304.507,av,98
248,0.108011,305.298,av,98
247,-0.0332389,306.116,av,98
246,-0.141728,307.014,av,98
245,-0.262714,307.943,av,98
244,-0.391724,308.935,av,98
243,-0.556334,310.026,av,98
242,-0.669254,311.241,av,98
241,-0.900648,312.572,av,98
240,-1.07636,314.084,av,98
239,-1.38776,315.738,av,98
238,-1.58787,317.603,av,98
237,-1.85487,319.616,av,98
236,-2.03422,321.829,av,98
235,-2.25587,324.22,av,98
234,-2.47582,326.813,av,98
233,-2.77936,329.62,av,98
232,-2.99393,332.662,av,98
231,-3.16074,336.035,av,98
230,-3.31286,339.863,av,98
229,-3.40916,344.186,av,98
228,-3.63255,349.071,av,98
227,-3.77423,354.503,av,98
226,-3.98996,360.569,av,98
225,-4.07294,367.377,av,98
224,-4.16886,374.919,av,98
223,-4.27171,383.225,av,98
222,-4.35434,392.348,av,98
221,-4.62815,402.259,av,98
220,-4.73763,413.043,av,98
219,-4.81769,424.616,av,98
218,-4.77546,436.966,av,98
217,-4.75001,450.029,av,98
216,-4.99496,463.77,av,98
215,-5.03191,478.493,av,98
214,-4.9094,494.513,av,98
213,-5.04384,512.142,av,98
212,-4.9537,532.038,av,98
211,-5.25525,554.72,av,98
210,-5.30153,581.549,av,98
209,-4.8303,614.374,av,98
208,-4.78347,655.494,av,98
207,-4.34285,708.896,av,98
206,-4.2646,779.094,av,98
205,-3.69813,862.874,av,98
204,-2.51242,930.315,av,98
203,-1.66578,971.84,av,98
202,-0.599683,981.701,av,98
201,-0.391104,981.845,av,98
200,0.345357,982.115,av,98
